CBD,LAT,LON,ICE,SFC
154.75,-82.748596,114.8685,2874,2979
155,-82.766403,114.949799,2876,2972
155.5,-82.8116,115.124603,2989,2975
155.75,-82.833496,115.211395,2943,2974
156,-82.8526,115.298096,3168,2966
157,-82.934692,115.650406,3044,2963
157.25,-82.955307,115.750702,2999,2963
157.5,-82.977203,115.827805,3076,2967
167.75,-83.811096,119.917694,447,2871
168.5,-83.804199,120.542999,3334,2872
168.75,-83.791794,120.711899,3062,2870
169,-83.780807,120.869797,2944,2865
169.25,-83.766998,121.049606,2931,2860
169.5,-83.757294,121.2061,3062,2858
169.75,-83.742203,121.373703,3113,2855
170,-83.729797,121.509705,3285,2852
170.25,-83.710602,121.647202,3400,2851
170.5,-83.692703,121.758606,3326,2850
171.25,-83.640396,122.112198,3195,2854
171.5,-83.621094,122.230499,3169,2848
172.5,-83.552307,122.670898,3115,2834
174,-83.476593,123.615997,2927,2832
174.25,-83.465607,123.775299,3011,2824
174.75,-83.439499,124.081696,2980,2825
175,-83.428497,124.232803,2921,2834
188,-82.748703,131.3526,2028,2705
188.25,-82.735001,131.472397,1968,2690
188.5,-82.722595,131.610001,2066,2678
188.75,-82.7061,131.744995,2078,2675
189,-82.692398,131.873093,2130,2669
189.25,-82.677307,131.986206,2077,2665
189.5,-82.662201,132.107498,2045,2659
189.75,-82.648499,132.234207,2041,2656
190,-82.632095,132.350006,2073,2649
190.25,-82.618393,132.465698,2163,2642
190.5,-82.603302,132.591202,2101,2637
190.75,-82.586807,132.711105,2009,2632
191,-82.573105,132.844696,2037,2631
191.25,-82.557999,132.963196,2085,2624
191.5,-82.542892,133.077698,2027,2623
191.75,-82.527802,133.199005,1946,2610
192,-82.512802,133.320297,1907,2600
192.25,-82.4991,133.447098,1942,2592
192.5,-82.481201,133.573898,1867,2584
192.75,-82.466095,133.703506,2015,2577
193,-82.453796,133.815094,2027,2569
193.25,-82.434601,133.953003,2043,2564
193.5,-82.419495,134.076996,2055,2561
193.75,-82.403107,134.195694,2115,2555
194,-82.386597,134.323898,2106,2549
194.25,-82.372894,134.446503,2143,2542
194.5,-82.356506,134.563797,2206,2541
194.75,-82.3414,134.675598,2267,2540
195,-82.323593,134.790207,2290,2535
195.25,-82.308502,134.904602,2365,2521
195.5,-82.290604,135.031494,2363,2513
195.75,-82.272797,135.154297,2434,2506
196,-82.259094,135.274307,2512,2500
196.25,-82.242706,135.397095,2584,2494
196.5,-82.226303,135.529404,2656,2500
196.75,-82.211197,135.648102,2695,2505
197,-82.197495,135.781693,2683,2514
197.25,-82.193405,135.941193,2644,2510
197.5,-82.1866,136.108902,2650,2508
197.75,-82.179794,136.267105,2624,2502
198,-82.173004,136.430695,2695,2498
198.25,-82.167603,136.5793,2939,2490
198.5,-82.160797,136.737396,2834,2488
198.75,-82.151199,136.884705,3008,2483
199,-82.145798,137.041504,2841,2482
199.25,-82.139008,137.202393,2893,2484
199.5,-82.132095,137.349594,3042,2490
199.75,-82.123993,137.514603,2987,2501
200,-82.117203,137.670105,2728,2484
200.25,-82.110397,137.815903,2575,2461
200.5,-82.099396,137.971497,2586,2435
200.75,-82.092606,138.131104,2455,2424
201,-82.087204,138.286499,2261,2413
201.25,-82.080399,138.432297,2396,2401
201.5,-82.073593,138.590607,2442,2406
201.75,-82.065399,138.744705,2646,2412
202,-82.058701,138.924805,2613,2421
202.25,-82.051804,139.070602,2345,2409
202.5,-82.043701,139.237198,2337,2407
202.75,-82.035507,139.384399,2284,2397
203,-82.027405,139.537201,2503,2396
203.25,-82.021896,139.699493,2595,2386
203.5,-82.012405,139.850906,2356,2377
203.75,-82.004196,140.006393,2274,2374
204,-81.994705,140.157898,2200,2371
204.25,-81.9879,140.324402,2586,2369
204.5,-81.978394,140.474503,2431,2368
204.75,-81.968796,140.620499,2375,2373
205,-81.960693,140.769196,2392,2375
205.25,-81.952499,140.923294,2373,2371
205.5,-81.942993,141.069305,2259,2369
205.75,-81.933395,141.226303,2261,2366
206,-81.926697,141.372192,2369,2372
206.25,-81.918503,141.523697,2278,2373
206.5,-81.908997,141.688797,2268,2380
206.75,-81.900803,141.832108,2206,2377
207,-81.888504,141.985001,2135,2348
207.25,-81.881805,142.135101,2080,2309
207.5,-81.872192,142.282501,2190,2304
207.75,-81.862701,142.436707,2376,2310
208,-81.854599,142.588196,2282,2321
208.25,-81.845001,142.738297,2496,2300
208.5,-81.835495,142.882996,2402,2284
208.75,-81.826004,143.053696,2341,2285
209,-81.816498,143.202499,2297,2286
209.25,-81.805603,143.356796,2236,2297
209.5,-81.798798,143.495895,2127,2294
209.75,-81.787903,143.643402,2006,2291
210,-81.779694,143.782593,1901,2286
210.25,-81.770203,143.935501,1947,2283
210.5,-81.759293,144.078903,2035,2286
210.75,-81.749802,144.219406,1931,2291
211,-81.737503,144.382095,1867,2299
211.25,-81.730804,144.523895,1849,2292
211.5,-81.721298,144.664597,1812,2290
211.75,-81.710403,144.809296,1810,2287
212,-81.699493,144.954102,1755,2291
212.25,-81.687195,145.090607,1742,2265
212.5,-81.679092,145.246307,1880,2240
212.75,-81.668198,145.378693,1866,2219
213,-81.6586,145.513794,1785,2219
213.25,-81.647797,145.676498,1761,2215
213.5,-81.635498,145.814407,1812,2204
213.75,-81.627396,145.957703,1854,2197
214,-81.616501,146.094299,1948,2198
214.25,-81.605606,146.244598,1860,2196
214.5,-81.594696,146.386597,1810,2190
214.75,-81.583801,146.527298,1858,2182
215,-81.572998,146.672104,1926,2181
215.25,-81.562103,146.812805,1928,2195
215.5,-81.551193,146.960403,1867,2208
