CBD_New,LAT,LON,THK,SRF
256,-82.620407,-173.380005,9999,9999
257,-82.636902,-173.2453,9999,9999
258,-82.656097,-173.105194,9999,9999
259,-82.675293,-172.941605,9999,9999
260,-82.690399,-172.800003,9999,9999
261,-82.708206,-172.654297,9999,9999
262,-82.727402,-172.511398,9999,9999
263,-82.743896,-172.373901,9999,9999
264,-82.761795,-172.228302,9999,9999
265,-82.778198,-172.082596,9999,9999
266,-82.794693,-171.928604,9999,9999
267,-82.8125,-171.788498,9999,9999
268,-82.830399,-171.626297,9999,9999
269,-82.846802,-171.476501,9999,9999
270,-82.8647,-171.332108,9999,9999
271,-82.882507,-171.180893,9999,9999
272,-82.900406,-171.037994,9999,9999
273,-82.916794,-170.885406,9999,9999
274,-82.934692,-170.7397,9999,9999
275,-82.953903,-170.584396,9999,9999
276,-82.971695,-170.444199,9999,9999
277,-82.988205,-170.279297,9999,9999
278,-83.005997,-170.115799,9999,9999
279,-83.022507,-169.959106,9999,9999
280,-83.039001,-169.809296,9999,9999
281,-83.055496,-169.649796,9999,9999
282,-83.071899,-169.483505,9999,9999
283,-83.091095,-169.332306,9999,9999
284,-83.106201,-169.170105,9999,9999
285,-83.122696,-169.009293,9999,9999
286,-83.141907,-168.844406,9999,9999
287,-83.159805,-168.684998,9999,9999
288,-83.179001,-168.528305,9999,9999
289,-83.195404,-168.352402,9999,9999
290,-83.2146,-168.201202,9999,9999
291,-83.231094,-168.043106,9999,9999
292,-83.247604,-167.878204,9999,9999
293,-83.264099,-167.709106,9999,9999
294,-83.280502,-167.553802,9999,9999
295,-83.302505,-167.362793,9999,9999
296,-83.317596,-167.199203,9999,9999
297,-83.336807,-167.021896,9999,9999
298,-83.351898,-166.855606,9999,9999
299,-83.369705,-166.687897,9999,9999
300,-83.387604,-166.518906,9999,9999
301,-83.404007,-166.334702,9999,9999
302,-83.421906,-166.161499,9999,9999
303,-83.438293,-165.984299,9999,9999
304,-83.457596,-165.793198,9999,9999
305,-83.475403,-165.610397,9999,9999
306,-83.490494,-165.429001,9999,9999
