CBD,LAT,LON,TCL,ICE
376,-81.076996,-149.188797,9999,9999
377,-81.075699,-149.042999,9999,9999
378,-81.075699,-148.882294,9999,9999
379,-81.070297,-148.718597,9999,9999
380,-81.067596,-148.556396,9999,9999
381,-81.067703,-148.397003,9999,9999
382,-81.065002,-148.242996,9999,9999
383,-81.065002,-148.078003,9999,9999
384,-81.063705,-147.895203,9999,9999
385,-81.063705,-147.724701,9999,9999
386,-81.061005,-147.550095,9999,9999
387,-81.059692,-147.375504,9999,9999
388,-81.058395,-147.173401,9999,9999
389,-81.057098,-147.001495,9999,9999
390,-81.057098,-146.815903,9999,9999
391,-81.053101,-146.645493,9999,9999
392,-81.053101,-146.464005,9999,9999
393,-81.0504,-146.293503,9999,9999
394,-81.049103,-146.107895,9999,9999
395,-81.044998,-145.926407,9999,9999
396,-81.045105,-145.750397,9999,9999
397,-81.045105,-145.567505,9999,9999
398,-81.043793,-145.391602,9999,9999
399,-81.042496,-145.218307,9999,9999
400,-81.038406,-145.049194,9999,9999
401,-81.038498,-144.880096,9999,9999
402,-81.034393,-144.727402,9999,9999
403,-81.031693,-144.570694,9999,9999
404,-81.031799,-144.415405,9999,9999
405,-81.029099,-144.2724,9999,9999
406,-81.027695,-144.112793,9999,9999
407,-81.024994,-143.964401,9999,9999
408,-81.022293,-143.814499,9999,9999
409,-81.019608,-143.667297,9999,9999
410,-81.015503,-143.518799,9999,9999
411,-81.014206,-143.364899,9999,9999
412,-81.012894,-143.225998,9999,9999
413,-81.008804,-143.098206,9999,9999
414,-81.007507,-142.967499,845,861
415,-81.006104,-142.832794,819,849
416,-81.002106,-142.722794,811,887
417,-80.999405,-142.603195,816,902
418,-80.996597,-142.482193,818,920
419,-80.9953,-142.368103,812,930
420,-80.994003,-142.241592,805,920
421,-80.991302,-142.127502,802,972
422,-80.990005,-142.009201,805,986
423,-80.987198,-141.899307,814,993
424,-80.985901,-141.7659,823,1003
425,-80.9832,-141.653198,829,1002
426,-80.9832,-141.536301,825,1013
427,-80.980499,-141.418106,823,1008
428,-80.977798,-141.312195,820,1017
429,-80.973801,-141.195404,832,1014
430,-80.969696,-141.075699,833,9999
431,-80.954605,-141.0289,831,9999
432,-80.934006,-141.044006,819,9999
433,-80.914795,-141.059097,815,982
434,-80.894196,-141.089294,801,993
435,-80.877701,-141.102997,794,1046
436,-80.861298,-141.098801,796,1113
437,-80.842102,-141.082306,804,1128
438,-80.824203,-141.075394,811,1136
439,-80.804993,-141.067093,810,9999
440,-80.787201,-141.051895,809,1085
441,-80.770706,-141.039505,800,1003
442,-80.750107,-141.0271,799,990
443,-80.730896,-141.018799,784,1019
444,-80.714493,-141.000793,767,957
445,-80.696594,-140.984299,738,1004
446,-80.677399,-140.975998,709,963
447,-80.656906,-140.967697,678,927
448,-80.636307,-140.9552,646,928
449,-80.618393,-140.935898,629,927
450,-80.600601,-140.923492,619,944
451,-80.578705,-140.915207,613,967
452,-80.559402,-140.899994,606,981
453,-80.541595,-140.884903,605,966
454,-80.523804,-140.872498,600,986
455,-80.503204,-140.864105,592,949
456,-80.485397,-140.846207,580,1010
457,-80.466202,-140.826904,571,973
458,-80.448303,-140.809006,573,1025
459,-80.430496,-140.799301,576,1017
460,-80.411301,-140.778702,582,892
461,-80.390701,-140.759293,589,978
462,-80.372894,-140.745499,604,970
463,-80.355103,-140.731705,619,952
464,-80.3358,-140.712402,633,945
465,-80.317993,-140.694504,644,928
466,-80.298798,-140.683502,655,918
467,-80.281006,-140.661407,671,909
468,-80.261795,-140.646194,683,904
469,-80.242599,-140.635193,698,844
470,-80.222,-140.6241,712,843
471,-80.201401,-140.6035,734,868
472,-80.183594,-140.593796,757,863
473,-80.167099,-140.586899,774,9999
474,-80.145203,-140.580002,779,1150
475,-80.1259,-140.560593,786,9999
476,-80.109497,-140.548203,783,1207
477,-80.091599,-140.541306,788,1129
478,-80.068298,-140.533005,778,1054
479,-80.051895,-140.516403,774,1015
480,-80.0327,-140.499893,758,1019
481,-80.014801,-140.488907,748,997
482,-79.995605,-140.481903,741,999
483,-79.976395,-140.468201,745,1015
484,-79.957199,-140.462601,746,1036
485,-79.939407,-140.448807,743,1113
486,-79.921494,-140.447403,739,1071
487,-79.901001,-140.433594,728,1049
488,-79.883102,-140.414307,724,1013
489,-79.863907,-140.403305,726,1049
490,-79.8461,-140.397705,731,1210
491,-79.826904,-140.388107,723,1338
492,-79.809006,-140.374298,705,1413
493,-79.789795,-140.364594,700,9999
494,-79.772003,-140.363205,708,1323
495,-79.752701,-140.356293,717,1200
496,-79.732193,-140.349304,721,1195
497,-79.715698,-140.339706,722,1162
498,-79.696503,-140.331406,727,1141
499,-79.677307,-140.331406,725,1124
500,-79.6595,-140.325897,718,1101
501,-79.638901,-140.320297,712,985
502,-79.622406,-140.314804,704,981
503,-79.604599,-140.311996,698,9999
504,-79.585403,-140.309204,697,9999
505,-79.566193,-140.292694,696,9999
506,-79.546997,-140.283005,693,9999
507,-79.527802,-140.274704,686,9999
508,-79.511307,-140.264999,676,9999
509,-79.492096,-140.249893,671,9999
510,-79.4729,-140.237503,664,9999
511,-79.456497,-140.234695,673,9999
512,-79.438599,-140.226501,678,9999
513,-79.417999,-140.218094,678,9999
514,-79.400208,-140.211197,667,9999
515,-79.379593,-140.205704,664,9999
516,-79.363098,-140.200104,665,9999
517,-79.345306,-140.187805,663,9999
518,-79.326096,-140.182205,653,9999
519,-79.308304,-140.175293,651,9999
520,-79.290405,-140.1698,643,9999
521,-79.272598,-140.167007,632,1191
522,-79.253403,-140.158707,603,1236
523,-79.235504,-140.149002,585,9999
524,-79.216293,-140.133896,580,9999
525,-79.197098,-140.128296,576,1519
526,-79.179306,-140.122803,572,1468
527,-79.158707,-140.118607,569,1526
528,-79.142303,-140.113098,569,1603
529,-79.123001,-140.110306,569,1617
530,-79.105194,-140.102097,564,9999
531,-79.087402,-140.091003,561,9999
532,-79.066803,-140.081406,561,9999
533,-79.048996,-140.080002,556,9999
534,-79.0298,-140.071701,556,9999
535,-79.013306,-140.066101,547,9999
536,-78.994095,-140.059296,540,9999
537,-78.979004,-140.121201,528,1824
538,-78.973495,-140.213303,525,1690
539,-78.973495,-140.304199,519,1538
540,-78.973495,-140.3992,522,1557
541,-78.973495,-140.503799,520,1618
542,-78.972107,-140.597397,520,1660
543,-78.969299,-140.700699,515,1757
544,-78.969299,-140.7957,506,1824
545,-78.969299,-140.897598,501,9999
546,-78.969299,-140.989807,498,9999
547,-78.968002,-141.083405,505,1483
548,-78.967896,-141.185303,513,9999
549,-78.965195,-141.274796,531,9999
550,-78.963806,-141.382202,546,1227
551,-78.962402,-141.479904,557,9999
552,-78.962402,-141.576294,550,9999
553,-78.961105,-141.672699,536,1407
554,-78.958298,-141.770401,517,1261
555,-78.956894,-141.866806,510,1350
556,-78.954193,-141.960403,509,1511
557,-78.952805,-142.058105,511,1524
558,-78.951401,-142.157303,506,1555
559,-78.947296,-142.257797,501,1529
560,-78.951401,-142.354202,491,1483
561,-78.965103,-142.4039,490,1213
562,-78.984406,-142.420502,487,1137
563,-79.002197,-142.429001,493,1051
564,-79.020096,-142.441605,493,1093
565,-79.040695,-142.454193,493,1121
566,-79.057205,-142.466797,495,1026
567,-79.075104,-142.483505,494,966
568,-79.094299,-142.496002,494,892
569,-79.116302,-142.505905,492,966
570,-79.134201,-142.515701,495,916
571,-79.151993,-142.525604,501,900
572,-79.172699,-142.538193,505,872
573,-79.190506,-142.5522,511,859
574,-79.208405,-142.564804,513,840
575,-79.2276,-142.570404,522,816
576,-79.245499,-142.588593,534,817
577,-79.266098,-142.603897,550,812
