CBD,LAT,LON,THK,SURF
1865,-79.5249,-118.5638,,1585
1866,-79.5316,-118.6624,,1581
1867,-79.535,-118.7508,,1578
1868,-79.5434,-118.8492,,1576
1869,-79.5468,-118.9444,,1575
1870,-79.5535,-119.0429,,1573
1871,-79.5569,-119.1264,,1567
1872,-79.5636,-119.2365,,1559
1873,-79.567,-119.3217,,1557
1874,-79.5721,-119.4135,,1554
1875,-79.5771,-119.5186,,1549
1876,-79.5821,-119.6138,,1551
1877,-79.5872,-119.7156,,1554
1878,-79.5906,-119.8041,,1554
1879,-79.5973,-119.8959,,
1880,-79.6024,-119.9877,,1549
1881,-79.6091,-120.0895,,1545
1882,-79.6141,-120.1763,,1535
1883,-79.6208,-120.2647,,1526
1884,-79.6276,-120.3732,,1513
1885,-79.6343,-120.465,2384,1506
1886,-79.6377,-120.5485,2500,1510
1887,-79.6478,-120.652,,1517
1888,-79.6511,-120.7405,,1512
1889,-79.6595,-120.8322,2449,1507
1890,-79.6662,-120.9374,,1508
1891,-79.6713,-121.0292,2419,1498
1892,-79.678,-121.1294,2382,1486
1893,-79.6847,-121.2229,,1482
1894,-79.6931,-121.3096,,1474
1895,-79.7015,-121.3897,,1464
1896,-79.7191,-121.4538,,
1897,-79.7366,-121.476,,1461
1898,-79.7516,-121.469,,1465
1899,-79.7716,-121.4336,,1476
1900,-79.7866,-121.3948,2369,1484
1901,-79.8049,-121.3561,,1483
1902,-79.8216,-121.3106,,1484
1903,-79.8399,-121.2634,2470,1484
1904,-79.8549,-121.2297,2498,1488
1905,-79.8733,-121.1842,2520,1493
1906,-79.8883,-121.1505,2548,1495
1907,-79.9016,-121.1134,2279,1493
1908,-79.9199,-121.0679,2338,1487
1909,-79.9366,-121.0291,,1481
1910,-79.9566,-120.9936,,1480
1911,-79.9733,-120.9482,,1483
1912,-79.9866,-120.8927,,1481
1913,-79.9966,-120.8172,,1473
1914,-80.0033,-120.7552,,1469
1915,-80.0082,-120.6847,,1470
1916,-80.0166,-120.6159,,1474
1917,-80.0232,-120.5421,,1478
1918,-80.0315,-120.4733,,1482
1919,-80.0365,-120.3945,,1482
1920,-80.0415,-120.3258,,1480
1921,-80.0448,-120.2622,2215,1482
1922,-80.0465,-120.1918,2029,1485
1923,-80.0498,-120.123,1999,1480
1924,-80.0498,-120.066,2028,1475
1925,-80.0531,-120.0057,1972,1475
1926,-80.0548,-119.9404,1964,1476
1927,-80.0548,-119.8867,2030,1480
1928,-80.0531,-119.8231,1986,1484
1929,-80.0531,-119.7627,1990,1486
1930,-80.0498,-119.7076,2003,1488
1931,-80.0498,-119.6606,2037,1496
1932,-80.0498,-119.6203,2041,1504
1933,-80.0431,-119.5868,2069,1504
1934,-80.0364,-119.5718,2082,1505
1935,-80.0281,-119.5584,,1497
1936,-80.0231,-119.545,,
1937,-80.0198,-119.5416,,
1938,-80.0165,-119.5432,,
1939,-80.0165,-119.5414,,
1940,-80.0165,-119.5413,,
1941,-80.0165,-119.5329,,
1942,-80.0165,-119.5327,,
1943,-80.0166,-119.5326,,
1944,-80.0166,-119.5326,,
1945,-80.0166,-119.5341,,
1946,-80.0166,-119.5307,,
1947,-80.0166,-119.5306,,
1948,-80.0166,-119.5305,,
1949,-80.0167,-119.5303,,
1950,-80.0167,-119.5302,,
1951,-80.0167,-119.5301,,
1952,-80.0167,-119.5333,,
